,predict
10,2
40,2
45,2
52,2
60,2
69,2
mz,2
가능,2
가지,2
강조,2
개편,2
개혁,2
건강,2
결과,2
경우,2
경제,2
고용,2
과로사,2
관계자,2
관련,2
관리,2
국가,2
국민,2
국회,2
그렇,2
근로,2
근로자,2
근무,2
기업,2
기준,2
까지,2
나서,2
나오,2
내용,2
노동,4
노동부,2
노동자,2
노사,2
노조,2
논란,2
논의,2
다고,2
단위,2
단축,2
대통령,2
대표,2
대하,2
더불어민주당,2
도입,2
따르,2
라고,2
마련,2
만들,2
못하,2
무리,2
문제,2
민주당,2
반대,2
발언,2
발표,2
밝히,2
방안,2
법안,2
보완,2
보이,2
보장,2
보호,2
비판,2
사람,2
사실,2
사회,2
산업,2
상황,2
생각,2
생산성,2
서울,2
선택,2
설명,2
세계,2
세대,2
수렴,2
시간,1
시키,2
시행,2
실험,2
야근,2
어렵,2
어서,2
어야,2
업무,2
여론,2
연장,2
열리,2
오전,2
우려,2
우리,2
운영,2
원내대표,2
위원,2
위원회,2
위하,2
유연,2
윤석열,2
의견,2
의원,2
이나,2
이날,2
이다,2
이라고,2
이런,2
이번,2
이상,2
이재명,2
일제,2
임금,2
입장,2
있다,2
장관,2
장시간,2
정부,3
정책,2
제도,2
조사,2
주당,2
주장,2
줄이,2
지금,2
지나,2
지만,2
지시,2
지적,2
직원,2
청년,2
최대,2
추진,2
취지,2
통하,2
평균,2
필요,0
한국,2
함께,2
합의,2
현실,2
현장,2
현재,2
확대,2
환경,2
회사,2
회의,2
휴가,2
